,Rural CVRMSE (%),OnlyVCWG CVRMSE (%),Bypass With Shading CVRMSE (%),Bypass Without Shading CVRMSE (%),Rural NMBE (%),OnlyVCWG NMBE (%),Bypass With Shading NMBE (%),Bypass Without Shading NMBE (%)
CAPITOUL With Cooling,7.27,5.04,5.14,5.09,4.04,-1.13,0.75,0.43
CAPITOUL Without Cooling,7.27,4.68,5.19,5.04,4.04,0.64,1.65,1.52
BUBBLE UE1 2.6,10.4,7.41,7.51,7.33,7.67,0.4,0.66,0.68
BUBBLE UE1 13.9,9.4,8.25,8.4,8.26,5.85,1.61,2.05,2.07
BUBBLE UE1 17.5,8.94,9.11,9.2,9.1,4.16,1.22,1.66,1.67
BUBBLE UE1 21.5,8.94,9.59,9.65,9.57,3.33,1.31,1.66,1.66
BUBBLE UE1 25.5,8.87,9.99,10.02,9.96,2.56,1.21,1.49,1.5
BUBBLE UE1 31.2,8.82,10.7,10.71,10.67,1.94,1.45,1.64,1.65
Vancouver TopForcing- 1.2,11.37,9.59,9.75,9.76,4.43,1.36,1.23,1.27
Vancouver TopForcing- 20.0,6.76,7.23,7.23,7.23,-0.71,0.22,0.22,0.22
BUBBLE UE2 3.0,7.97,9.33,10.19,10.39,3.93,-4.62,-5.59,-5.83
BUBBLE UE2 15.8,8.09,9.51,9.65,9.7,3.43,-0.43,-0.34,-0.41
BUBBLE UE2 22.9,7.91,10.41,10.52,10.55,3.2,1.28,1.34,1.29
BUBBLE UE2 27.8,8.37,10.8,10.87,10.9,1.79,0.67,0.73,0.69
BUBBLE UE2 32.9,8.58,11.38,11.42,11.45,1.01,0.6,0.64,0.61
Vancouver Rural 1.2,8.05,16.38,16.1,16.07,3.31,-5.33,-4.03,-4.08
Vancouver Rural 20.0,8.23,16.02,16.02,16.02,-1.89,0.29,0.29,0.29
